Id,MSSubClass,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,OpenPorchSF,EnclosedPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleType,SalePrice
11,house_1floor,21.336,1040.5136,Pave,Reg,Lvl,AllPub,Inside,Gtl,Naberegnay,Norm,1Fam,1Story,5,5,1965,1965,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,12.449,96.6191,GasA,Ex,Y,SBrkr,96.6191,0.0,0.0,96.6191,1,0,3,1,TA,5,Typ,0,,Detchd,Unf,1,35.6748,TA,TA,Y,0.0,0.0,0.0,,,2,2008,WD,3220665.0
12,house_2floor,25.908,1107.7754,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gardarika,Norm,1Fam,2Story,9,5,2005,2006,CompShg,WdShing,Wd Shng,Stone,26.5703,Ex,TA,PConc,Ex,TA,No,GLQ,16.4438,109.161,GasA,Ex,Y,SBrkr,109.8113,106.0952,0.0,215.9066,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,68.3766,TA,TA,Y,1.951,0.0,0.0,,,7,2006,New,9377100.0
13,house_1floor,,1204.7661,Pave,IR2,Lvl,AllPub,Inside,Gtl,Naberegnay,Norm,1Fam,1Story,5,6,1962,1962,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,16.258,84.7275,GasA,TA,Y,SBrkr,84.7275,0.0,0.0,84.7275,1,0,2,1,TA,4,Typ,0,,Detchd,Unf,1,32.7019,TA,TA,Y,0.0,0.0,0.0,,,9,2008,WD,3581280.0
14,house_1floor,27.7368,989.6028,Pave,IR1,Lvl,AllPub,Inside,Gtl,Koltsovo,Norm,1Fam,1Story,7,5,2006,2007,CompShg,VinylSd,VinylSd,Stone,28.4283,Gd,TA,PConc,Gd,TA,Av,Unf,138.7971,138.7971,GasA,Ex,Y,SBrkr,138.7971,0.0,0.0,138.7971,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,78.0385,TA,TA,Y,3.0658,0.0,0.0,,,8,2007,New,7141225.0
15,house_1floor,,1014.5008,Pave,IR1,Lvl,AllPub,Corner,Gtl,Alpika,Norm,1Fam,1Story,6,5,1960,1960,CompShg,MetalSd,MetalSd,BrkFace,19.6954,TA,TA,CBlock,TA,TA,No,BLQ,48.3096,116.4075,GasA,TA,Y,SBrkr,116.4075,0.0,0.0,116.4075,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,32.7019,TA,TA,Y,19.7883,16.3509,0.0,,GdWo,5,2008,WD,3904590.0
16,house_1floor_attic,15.5448,568.5664,Pave,Reg,Lvl,AllPub,Corner,Gtl,Olimpysky,Norm,1Fam,1.5Unf,7,8,1929,2001,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,77.2953,77.2953,GasA,Ex,Y,FuseA,79.3392,0.0,0.0,79.3392,1,0,2,1,TA,5,Typ,0,,Detchd,Unf,2,53.5121,TA,TA,Y,10.4051,0.0,0.0,,GdPrv,7,2007,WD,3372600.0
17,house_1floor,,1044.3226,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Alpika,Norm,1Fam,1Story,6,7,1970,1970,CompShg,Wd Sdng,Wd Sdng,BrkFace,16.7225,TA,TA,CBlock,TA,TA,No,ALQ,39.5767,93.2746,GasA,Ex,Y,SBrkr,93.2746,0.0,0.0,93.2746,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,44.5934,TA,TA,Y,0.0,0.0,0.0,,,3,2010,WD,4525130.0
18,duplex_united,21.9456,1002.5163,Pave,Reg,Lvl,AllPub,Inside,Gtl,Naberegnay,Norm,Duplex,1Story,4,5,1967,1967,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0.0,0.0,GasA,TA,Y,SBrkr,120.4023,0.0,0.0,120.4023,2,0,2,2,TA,6,Typ,0,,CarPort,Unf,2,47.9379,TA,TA,Y,0.0,0.0,0.0,,,10,2006,WD,2446200.0
19,house_1floor,20.1168,1272.3066,Pave,Reg,Lvl,AllPub,Inside,Gtl,Daryino,RRAe,1Fam,1Story,5,5,2004,2004,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,43.4786,103.4939,GasA,Ex,Y,SBrkr,103.4939,0.0,0.0,103.4939,1,1,3,1,Gd,6,Typ,0,,Detchd,Unf,2,53.5121,TA,TA,Y,9.4761,0.0,0.0,,,6,2008,WD,3954330.0
20,house_1floor,21.336,702.3467,Pave,Reg,Lvl,AllPub,Inside,Gtl,Alpika,Norm,1Fam,1Story,5,6,1958,1965,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,48.7741,95.5972,GasA,TA,Y,SBrkr,124.3971,0.0,0.0,124.3971,1,0,3,1,TA,6,Min1,0,,Attchd,Unf,1,27.3135,TA,TA,Y,0.0,0.0,0.0,,MnPrv,5,2009,COD,4409080.0
21,house_2floor,30.7848,1320.6161,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gardarika,Norm,1Fam,2Story,8,5,2005,2006,CompShg,VinylSd,VinylSd,BrkFace,35.3031,Gd,TA,PConc,Ex,TA,Av,Unf,107.5817,107.5817,GasA,Ex,Y,SBrkr,107.5817,113.1559,0.0,220.7375,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,79.2463,TA,TA,Y,14.3071,0.0,0.0,,,11,2006,New,8841654.0
22,house_1floor_attic,17.3736,692.0344,Pave,Reg,Bnk,AllPub,Inside,Gtl,LesPolyana,Norm,1Fam,1.5Unf,7,7,1930,1950,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,59.1792,59.1792,GasA,Ex,Y,FuseF,102.9365,0.0,0.0,102.9365,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,26.0128,TA,TA,N,0.0,19.0451,0.0,,GdPrv,6,2007,WD,3561670.0
23,house_1floor,22.86,905.061,Pave,Reg,Lvl,AllPub,Inside,Gtl,Koltsovo,Norm,1Fam,1Story,8,5,2002,2002,CompShg,VinylSd,VinylSd,BrkFace,26.1057,Gd,TA,PConc,Gd,TA,No,Unf,165.0886,165.0886,GasA,Ex,Y,SBrkr,166.7609,0.0,0.0,166.7609,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,49.6102,TA,TA,Y,14.7716,0.0,0.0,,,9,2008,WD,5720100.0
24,cottage_settlem,13.4112,392.4223,Pave,Reg,Lvl,AllPub,Inside,Gtl,Panorama,Norm,TwnhsE,1Story,5,7,1976,1976,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,18.5806,96.6191,GasA,TA,Y,SBrkr,98.4772,0.0,0.0,98.4772,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,53.1405,TA,TA,Y,10.2193,0.0,0.0,,,6,2007,WD,3318945.0
25,house_1floor,,766.0781,Pave,IR1,Lvl,AllPub,Inside,Gtl,Naberegnay,Norm,1Fam,1Story,5,8,1968,2001,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,18.9522,98.4772,GasA,Ex,Y,SBrkr,98.4772,0.0,0.0,98.4772,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,25.0838,TA,TA,Y,8.3613,0.0,0.0,,MnPrv,5,2010,WD,4676980.0
26,house_1floor,33.528,1322.0097,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gardarika,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,Stone,59.4579,Gd,TA,PConc,Gd,TA,No,Unf,145.4861,145.4861,GasA,Ex,Y,SBrkr,148.6448,0.0,0.0,148.6448,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,82.6837,TA,TA,Y,5.2026,0.0,0.0,,,7,2009,WD,8129836.0
27,house_1floor,18.288,668.9016,Pave,Reg,Lvl,AllPub,Corner,Gtl,Alpika,Norm,1Fam,1Story,5,7,1951,2000,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,16.7225,83.6127,GasA,TA,Y,SBrkr,83.6127,0.0,0.0,83.6127,1,0,3,1,Gd,5,Typ,0,,Detchd,Unf,2,53.5121,TA,TA,Y,2.9729,0.0,0.0,,,5,2010,WD,4093876.0
28,house_1floor,29.8704,1066.3406,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gardarika,Norm,1Fam,1Story,8,5,2007,2008,CompShg,VinylSd,VinylSd,Stone,18.5806,Gd,TA,PConc,Ex,TA,No,GLQ,45.1509,158.3067,GasA,Ex,Y,SBrkr,158.3067,0.0,0.0,158.3067,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,71.7211,TA,TA,Y,4.6452,0.0,0.0,,,5,2010,WD,9293220.0
29,house_1floor,14.3256,1516.2699,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Alpika,Norm,1Fam,1Story,5,6,1957,1997,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,19.2309,137.8681,GasA,TA,Y,SBrkr,148.6448,0.0,0.0,148.6448,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,29.6361,TA,TA,Y,23.969,0.0,0.0,,,12,2006,WD,5639850.0
30,house_1floor,18.288,587.5186,Pave,IR1,Lvl,AllPub,Inside,Gtl,Olimpysky,Feedr,1Fam,1Story,4,6,1927,1950,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,48.3096,48.3096,GasA,Fa,N,SBrkr,48.3096,0.0,0.0,48.3096,1,0,1,1,Fa,4,Typ,0,,Detchd,Unf,1,22.2967,Fa,TA,Y,0.0,8.0826,0.0,,,5,2008,WD,1703595.0
31,house_2floor,15.24,789.6755,Pave,Reg,Lvl,AllPub,Inside,Gtl,LesPolyana,Feedr,1Fam,2Story,4,4,1920,1950,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,60.294,60.294,GasA,TA,N,SBrkr,60.294,62.0592,0.0,122.3533,1,0,3,1,TA,6,Typ,0,,Detchd,Unf,1,23.2258,TA,Fa,N,5.0168,15.9793,0.0,,MnPrv,7,2008,WD,994800.0
32,house_1floor,,793.7632,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Naberegnay,Norm,1Fam,1Story,5,6,1966,2006,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,114.0849,114.0849,GasA,Gd,Y,SBrkr,114.0849,0.0,0.0,114.0849,1,1,3,1,Gd,6,Typ,0,,Attchd,Unf,1,25.1767,TA,TA,Y,6.0387,0.0,0.0,,MnPrv,6,2008,WD,3714334.5
33,house_1floor,25.908,1026.4852,Pave,Reg,Lvl,AllPub,Corner,Gtl,Koltsovo,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,114.6423,114.6423,GasA,Ex,Y,SBrkr,114.6423,0.0,0.0,114.6423,2,0,3,1,Gd,7,Typ,0,,Attchd,RFn,2,44.9651,TA,TA,Y,2.7871,0.0,0.0,,,1,2008,WD,4474113.0
34,house_1floor,21.336,980.3125,Pave,IR1,Lvl,AllPub,Inside,Gtl,Alpika,Norm,1Fam,1Story,5,5,1959,1959,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,35.3031,129.8784,GasA,Gd,Y,SBrkr,157.9351,0.0,0.0,157.9351,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,41.5276,TA,TA,Y,3.5303,0.0,0.0,,,4,2010,WD,5026235.0
35,cottage_settlem,18.288,679.3996,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gardarika,Norm,TwnhsE,1Story,9,5,2005,2005,CompShg,MetalSd,MetalSd,BrkFace,22.8541,Ex,TA,PConc,Ex,TA,No,GLQ,37.9044,145.0216,GasA,Ex,Y,SBrkr,145.0216,0.0,0.0,145.0216,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,51.6541,TA,TA,Y,4.3664,0.0,0.0,,,8,2007,WD,7090125.0
36,house_2floor,32.9184,1246.5725,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gardarika,Norm,1Fam,2Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,Stone,12.2632,Gd,TA,PConc,Ex,TA,Av,Unf,103.7727,103.7727,GasA,Ex,Y,SBrkr,105.1662,122.632,0.0,227.7982,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,64.196,TA,TA,Y,2.9729,0.0,0.0,,,9,2006,WD,8398620.0
37,house_1floor,34.1376,1008.8337,Pave,Reg,Lvl,AllPub,Corner,Gtl,Koltsovo,Norm,1Fam,1Story,5,5,1994,1995,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,101.9146,101.9146,GasA,Ex,Y,SBrkr,101.9146,0.0,0.0,101.9146,1,1,3,1,TA,6,Typ,0,,Attchd,Unf,2,62.4308,TA,TA,Y,5.9458,0.0,0.0,,,6,2009,WD,4599400.0
38,house_1floor,22.5552,792.6484,Pave,Reg,Lvl,AllPub,Inside,Gtl,Alpika,Norm,1Fam,1Story,5,6,1954,1990,CompShg,Wd Sdng,Wd Sdng,BrkFace,60.3869,TA,TA,CBlock,TA,TA,No,Rec,7.8039,120.4952,GasA,Gd,Y,SBrkr,120.4952,0.0,0.0,120.4952,1,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,46.2657,TA,TA,Y,0.0,0.0,0.0,,,10,2009,WD,4853160.0
39,house_1floor,20.7264,735.9776,Pave,Reg,Lvl,AllPub,Inside,Gtl,Alpika,Norm,1Fam,1Story,5,7,1953,2007,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,30.2864,98.1985,GasA,TA,Y,SBrkr,98.1985,0.0,0.0,98.1985,1,0,3,1,Gd,5,Typ,0,,Detchd,Unf,1,22.8541,TA,TA,Y,4.831,0.0,0.0,,,1,2010,WD,3310330.0
40,duplex_united,19.812,561.1341,Pave,Reg,Lvl,AllPub,Inside,Gtl,Pervozvanny,Norm,Duplex,1Story,4,5,1955,1955,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,0.0,0.0,GasA,TA,N,FuseP,107.0243,0.0,0.0,107.0243,2,0,2,2,Fa,6,Typ,0,,,,0,0.0,,,N,0.0,0.0,0.0,,,6,2008,WD,2039340.0
41,house_1floor,25.6032,804.3542,Pave,Reg,Lvl,AllPub,Inside,Gtl,Alpika,Norm,1Fam,1Story,6,5,1965,1965,CompShg,Wd Sdng,Wd Sdng,BrkFace,9.3832,TA,TA,CBlock,TA,TA,No,Rec,41.3418,101.0785,GasA,Ex,Y,SBrkr,123.0036,0.0,0.0,123.0036,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,40.8773,TA,TA,Y,12.8206,0.0,0.0,,GdWo,12,2006,WD,4348800.0
42,house_1floor,35.052,1570.5252,Pave,Reg,Lvl,AllPub,Inside,Gtl,Shi,Norm,1Fam,1Story,5,6,1959,1959,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,35.5818,125.419,GasA,Gd,Y,SBrkr,123.3752,0.0,0.0,123.3752,1,1,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,28.6141,TA,TA,P,9.6619,0.0,0.0,,,7,2007,WD,4343500.0
43,multi_level house,,852.8495,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Daryino,Norm,1Fam,SFoyer,5,7,1983,1983,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,0.0,78.0385,GasA,Gd,Y,SBrkr,82.1263,0.0,0.0,82.1263,1,0,2,1,Gd,5,Typ,0,,Attchd,RFn,2,46.8231,TA,Gd,Y,0.0,0.0,0.0,,MnPrv,12,2007,WD,3679200.0
44,house_1floor,,854.7076,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Koltsovo,Norm,1Fam,1Story,5,6,1975,1980,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,15.5148,87.143,GasA,TA,Y,SBrkr,87.143,0.0,0.0,87.143,1,0,3,1,TA,5,Typ,0,,Detchd,Unf,1,28.6141,TA,TA,Y,0.0,0.0,0.0,,MnPrv,7,2008,WD,3239317.5
45,house_1floor,21.336,738.1143,Pave,Reg,Lvl,AllPub,Inside,Gtl,Alpika,Norm,1Fam,1Story,5,6,1959,1959,CompShg,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,43.1999,106.8384,GasA,Ex,Y,FuseA,106.8384,0.0,0.0,106.8384,1,0,3,1,TA,6,Typ,0,,Attchd,RFn,1,27.8709,TA,TA,Y,0.0,0.0,0.0,,,5,2006,WD,3832380.0
46,cottage_settlem,18.5928,711.4512,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gardarika,Norm,TwnhsE,1Story,9,5,2005,2005,CompShg,MetalSd,MetalSd,BrkFace,38.276,Ex,TA,PConc,Ex,TA,No,GLQ,120.4023,162.7661,GasA,Ex,Y,SBrkr,162.7661,0.0,0.0,162.7661,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,53.5121,TA,TA,Y,7.618,0.0,0.0,,,2,2010,WD,9715363.0
47,house_1floor_attic,14.6304,1191.2023,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Petrovskie_ozera,Norm,1Fam,1.5Fin,7,5,2003,2003,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,7.7109,133.2229,GasA,Ex,Y,SBrkr,141.0268,58.6218,0.0,199.6485,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,62.245,TA,TA,Y,3.9948,0.0,0.0,,,8,2009,WD,7602839.92
48,house_1floor,25.6032,1030.8517,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somovo,Norm,1Fam,1Story,8,5,2006,2006,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,151.6177,153.8474,GasA,Ex,Y,SBrkr,153.8474,0.0,0.0,153.8474,2,0,3,1,Gd,7,Typ,0,,Attchd,RFn,3,76.7379,TA,TA,Y,13.5638,0.0,0.0,,,7,2007,WD,6379835.0
49,two_cottage,10.0584,413.9758,Pave,Reg,Lvl,AllPub,Inside,Gtl,Chigovka,Norm,2fmCon,2Story,4,5,1920,2008,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,68.3766,68.3766,GasA,Gd,Y,SBrkr,68.3766,66.5185,0.0,134.8952,2,0,2,3,TA,8,Typ,0,,,,0,0.0,,,N,0.0,9.4761,0.0,,,6,2009,New,3584360.0
50,house_1floor,20.1168,719.255,Pave,Reg,Lvl,AllPub,Inside,Gtl,Naberegnay,Norm,1Fam,1Story,5,7,1966,1966,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,17.8374,88.7224,GasA,Ex,Y,SBrkr,88.7224,0.0,0.0,88.7224,1,0,3,1,TA,6,Typ,0,,Attchd,Unf,1,35.8606,TA,TA,Y,0.0,0.0,0.0,,MnPrv,1,2007,WD,3244850.0
51,house_2floor,,1288.4717,Pave,IR2,Lvl,AllPub,Corner,Gtl,Darvina,Norm,1Fam,2Story,6,6,1997,1997,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,56.8566,73.765,GasA,Gd,Y,SBrkr,73.765,62.8024,0.0,136.5674,2,0,3,1,TA,6,Typ,0,,Attchd,Fin,2,36.0464,TA,TA,Y,6.9677,0.0,0.0,,,7,2007,WD,4522350.0
52,house_1floor_attic,15.8496,579.7147,Pave,Reg,Lvl,AllPub,Inside,Gtl,Olimpysky,Norm,1Fam,1.5Fin,6,6,1934,1950,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,75.8088,75.8088,GasA,TA,Y,SBrkr,75.8088,0.0,33.4451,109.2539,1,0,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,49.0528,TA,TA,Y,0.0,0.0,0.0,,MnPrv,9,2006,WD,3112110.0
53,duplex_united,33.528,787.0742,Grvl,IR2,Bnk,AllPub,Corner,Mod,LesPolyana,RRNn,Duplex,1Story,5,5,1963,1963,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,0.0,75.8088,GasA,TA,N,SBrkr,75.8088,0.0,0.0,75.8088,1,0,2,1,TA,5,Typ,0,,CarPort,Unf,2,47.9379,TA,TA,Y,0.0,0.0,0.0,,,5,2010,WD,3340700.0
